,LQD,IAU,MDY,VDE,IDU,FXI,VDC,IBB,EWM,VNQ
2010-02-03,104.78,10.65,129.37,81.26,72.03,38.51,65.22,83.19,10.53,42.51
2010-02-10,104.74,10.44,126.33,79.26,70.26,38.02,64.53,82.3,10.35,41.33
2010-02-17,103.71,10.72,129.08,81.24,70.18,39.68,65.66,83.67,10.46,41.51
2010-02-24,103.82,11.0,134.02,83.38,71.47,39.71,67.29,85.27,10.66,44.23
2010-03-03,104.84,10.83,134.14,81.6,71.39,38.99,67.39,85.04,10.65,44.65
2010-03-10,105.71,11.1,138.03,83.26,72.12,40.16,68.2,87.75,10.97,45.19
2010-03-17,105.71,10.86,142.07,85.29,73.14,41.35,68.23,90.85,11.45,47.7
2010-03-24,106.58,11.04,144.12,84.75,73.68,41.42,69.44,91.51,11.28,49.59
2010-03-31,105.43,10.68,142.93,81.98,71.55,40.02,69.62,91.67,11.3,49.55
2010-04-07,105.53,11.03,144.69,85.55,73.11,43.27,70.16,92.6,11.82,49.06
2010-04-14,105.14,11.27,146.36,86.76,73.19,43.77,69.67,92.04,11.97,50.22
2010-04-21,105.98,11.37,150.72,88.5,73.68,43.9,70.12,92.7,12.09,50.51
2010-04-28,106.32,11.19,152.62,88.83,74.22,42.18,70.14,89.99,11.99,52.08
2010-05-05,106.87,11.44,152.45,88.88,74.18,40.98,69.49,91.87,12.09,53.98
2010-05-12,104.8,11.85,141.0,81.91,71.35,37.75,67.1,86.3,11.44,49.96
2010-05-19,106.18,12.07,146.89,83.84,73.81,39.61,68.77,86.87,12.06,52.65
2010-05-26,106.49,11.59,134.24,75.95,69.29,37.02,66.0,80.87,11.16,46.77
2010-06-02,105.6,11.88,140.24,78.79,69.97,39.73,65.97,81.56,11.2,50.15
2010-06-09,104.96,11.8,139.58,78.06,70.62,39.31,66.73,83.47,11.28,49.29
2010-06-16,105.64,11.9,136.5,78.57,71.01,40.04,66.27,80.35,11.36,49.41
2010-06-23,106.51,12.2,140.95,80.98,73.78,40.62,67.16,83.02,11.53,51.39
2010-06-30,107.31,12.14,133.73,76.49,69.83,40.77,65.61,80.61,11.59,47.95
2010-07-07,108.14,11.71,128.37,72.55,68.51,39.38,63.99,76.06,11.5,46.33
2010-07-14,108.08,11.74,132.87,76.5,72.01,39.95,66.39,78.34,11.9,47.17
2010-07-21,108.81,11.83,136.4,77.49,73.4,39.86,67.42,80.23,11.91,48.64
2010-07-28,109.49,11.69,136.57,78.15,74.04,41.12,67.43,79.01,11.98,49.31
2010-08-04,109.79,11.43,137.7,78.87,74.11,41.09,67.69,79.68,12.11,50.65
2010-08-11,109.76,11.7,140.52,82.24,75.21,42.03,68.06,83.58,12.37,51.86
2010-08-18,110.21,11.89,134.15,78.13,74.09,40.01,67.35,82.29,12.07,49.78
2010-08-25,111.9,12.04,133.93,77.24,73.68,40.44,67.26,80.69,12.68,49.63
2010-09-01,112.91,12.1,130.65,74.42,73.99,39.22,66.66,78.74,12.79,49.49
2010-09-08,111.59,12.24,137.36,78.66,76.1,40.71,68.29,81.84,13.35,52.6
2010-09-15,110.77,12.17,138.59,79.02,76.41,40.91,68.94,83.79,13.4,52.05
2010-09-22,110.99,12.48,141.66,79.85,75.6,41.59,69.92,85.31,13.67,53.17
2010-09-29,112.35,12.64,141.08,79.83,75.08,41.89,70.1,86.16,13.55,51.79
2010-10-06,113.09,12.8,145.59,82.73,76.22,42.82,70.68,86.24,13.74,52.08
2010-10-13,113.22,13.05,146.28,84.84,77.12,43.86,71.28,86.92,13.83,53.52
2010-10-20,112.07,13.5,148.89,87.16,77.3,45.88,72.41,88.12,14.04,54.46
2010-10-27,112.04,12.97,148.7,86.62,77.9,46.14,72.71,88.09,13.91,55.54
2010-11-03,112.14,13.14,150.18,86.91,77.21,45.11,72.64,89.44,13.99,54.54
2010-11-10,113.1,13.61,155.39,91.13,78.42,47.88,74.14,89.13,14.4,56.68
2010-11-17,111.23,13.77,155.69,94.36,77.42,47.45,73.17,88.23,14.13,54.91
2010-11-24,109.9,13.23,154.04,93.03,76.53,45.1,73.07,88.32,13.96,52.9
2010-12-01,110.18,13.29,155.96,92.4,75.89,43.2,72.65,89.02,13.7,53.81
2010-12-08,109.21,13.53,160.28,96.49,76.68,45.06,73.36,88.93,14.01,54.68
2010-12-15,108.2,13.56,161.8,96.9,76.17,43.36,74.09,89.96,14.13,53.61
2010-12-22,107.29,13.41,163.87,97.61,77.1,42.6,75.19,93.04,14.03,53.1
2010-12-29,108.39,13.49,165.37,98.71,77.28,42.6,73.55,94.67,13.98,54.92
2011-01-05,108.17,13.72,165.66,99.78,77.21,42.67,73.42,93.98,14.26,55.48
2011-01-12,108.36,13.41,165.67,99.38,77.52,43.97,73.02,95.09,14.72,55.0
2011-01-19,109.45,13.42,167.79,102.32,77.93,44.56,73.5,96.07,14.91,55.3
2011-01-26,108.32,13.13,166.54,101.85,78.72,43.61,73.56,94.89,14.74,55.42
2011-02-02,108.64,12.82,169.71,104.25,79.18,43.14,73.23,95.76,14.46,57.37
2011-02-09,107.42,13.24,170.67,108.64,79.11,42.73,72.81,93.93,14.42,57.47
2011-02-16,107.0,13.32,174.39,108.44,79.17,41.37,73.52,93.92,14.22,58.14
2011-02-23,107.97,13.53,178.28,112.29,79.06,42.66,74.46,95.55,14.27,58.5
2011-03-02,108.42,13.68,171.76,112.11,78.19,41.16,73.54,92.67,14.0,57.29
2011-03-09,107.75,13.84,177.14,114.99,79.97,43.32,74.41,96.04,14.34,58.38
2011-03-16,108.75,13.81,172.12,107.75,80.41,43.64,74.42,95.06,14.27,57.26
2011-03-23,109.34,13.72,170.53,110.67,77.14,41.96,72.62,93.53,14.04,56.56
2011-03-30,108.83,13.94,174.74,113.78,78.86,43.66,74.85,96.35,14.54,56.98
2011-04-06,108.2,14.01,179.55,116.73,79.36,44.96,75.59,100.16,14.77,58.49
2011-04-13,108.08,14.27,180.61,116.45,79.85,45.99,76.62,102.18,15.0,57.96
2011-04-20,108.33,14.41,176.84,112.17,78.86,45.56,77.45,103.71,14.7,58.22
2011-04-27,109.43,14.71,180.53,115.78,80.12,46.4,77.95,105.07,14.85,59.99
2011-05-04,110.26,15.01,183.66,116.03,82.19,45.21,79.31,108.95,15.0,62.21
2011-05-11,110.79,14.38,179.22,108.95,81.87,43.39,79.21,105.01,14.53,61.0
2011-05-18,110.37,14.69,182.35,108.5,84.14,43.71,81.21,109.5,14.89,61.18
2011-05-25,111.08,14.6,180.66,109.33,84.2,44.12,81.85,107.93,14.85,61.45
2011-06-01,111.33,14.86,178.86,111.38,82.92,43.73,80.63,107.74,14.76,61.35
2011-06-08,110.54,14.99,177.23,110.01,82.4,44.58,80.0,107.87,15.01,60.44
2011-06-15,110.76,15.09,172.01,109.09,81.77,43.4,78.97,105.31,15.02,59.6
2011-06-22,110.82,14.93,169.32,105.32,81.49,42.08,78.75,102.31,14.86,58.73
2011-06-29,111.29,14.87,172.95,106.09,81.55,41.27,78.57,104.1,14.89,59.07
2011-07-06,110.13,14.64,177.4,110.55,82.68,42.95,79.89,106.66,15.28,60.1
2011-07-13,110.36,14.96,183.58,113.66,83.81,42.79,81.47,109.45,15.46,62.84
2011-07-20,111.12,15.5,176.03,110.2,82.35,41.2,80.0,107.59,15.14,60.7
2011-07-27,111.05,15.53,179.6,116.72,84.01,42.18,81.26,108.62,15.17,62.87
2011-08-03,111.37,15.77,171.73,113.38,82.54,42.37,79.22,103.42,15.12,61.03
2011-08-10,114.0,16.11,155.94,100.77,77.86,39.24,75.43,91.32,14.57,54.9
2011-08-17,111.2,17.12,152.49,97.52,78.19,37.01,74.79,88.82,14.25,54.8
2011-08-24,113.47,17.82,146.13,94.39,79.44,36.18,75.68,88.38,14.33,54.25
2011-08-31,110.99,17.27,148.1,94.32,80.75,36.64,76.31,90.09,13.99,54.27
2011-09-07,112.0,17.83,156.61,99.49,82.62,38.08,78.62,94.75,14.1,56.78
2011-09-14,113.4,18.23,154.04,98.2,81.96,36.93,78.31,96.79,14.06,56.87
2011-09-21,112.44,17.47,157.58,98.95,83.12,36.37,78.88,97.85,13.4,56.64
2011-09-28,113.65,16.97,142.54,87.4,81.21,31.53,75.83,94.12,12.1,51.68
2011-10-05,111.75,15.81,146.11,88.89,82.57,32.91,77.03,94.11,12.45,52.26
2011-10-12,111.13,16.09,147.49,90.52,81.07,31.44,76.58,96.0,12.71,51.32
2011-10-19,111.81,16.28,152.77,94.24,82.21,34.31,78.58,96.98,13.27,51.84
2011-10-26,112.6,15.82,153.26,98.75,83.77,32.57,78.97,95.87,13.31,53.4
2011-11-02,114.0,17.03,166.06,106.33,85.95,38.34,80.71,99.82,14.07,58.68
2011-11-09,115.35,17.21,163.14,104.44,86.13,38.07,79.86,97.53,13.75,58.14
2011-11-16,113.54,17.17,158.58,103.63,85.27,36.99,79.31,93.5,13.54,55.75
2011-11-23,111.97,16.75,156.93,100.62,84.36,35.19,79.11,92.98,13.2,55.04
2011-11-30,110.39,16.39,147.81,93.64,81.86,33.33,77.4,95.63,12.96,52.35
2011-12-07,110.56,17.02,159.91,103.39,86.08,36.62,81.12,102.41,13.84,55.47
2011-12-14,112.05,16.65,157.53,100.84,84.5,35.72,80.77,99.88,13.38,55.13
2011-12-21,112.37,15.28,154.26,96.72,85.7,34.08,80.94,99.68,13.25,55.93
2011-12-28,113.44,15.64,159.84,100.8,87.31,35.33,81.1,103.22,13.29,58.57
2012-01-04,113.28,15.07,160.45,100.8,88.93,34.85,81.93,103.96,13.34,58.25
2012-01-11,113.27,15.81,162.08,103.39,86.59,35.69,81.15,106.35,13.59,58.03
2012-01-18,114.1,16.08,165.72,101.9,85.83,36.84,80.71,112.31,13.73,58.26
2012-01-25,114.6,16.16,169.25,103.99,85.02,38.6,81.31,113.81,13.89,59.51
2012-02-01,115.84,16.77,170.4,104.27,86.34,39.18,81.59,114.71,14.09,61.84
2012-02-08,116.34,17.15,176.72,103.99,85.73,39.93,81.89,119.21,14.59,62.45
2012-02-15,116.17,16.85,177.27,107.37,85.94,40.09,82.38,119.44,14.6,62.61
2012-02-22,116.19,16.85,179.26,108.83,86.38,40.29,83.18,121.5,14.39,62.31
2012-02-29,116.7,17.36,179.16,110.71,86.21,40.14,83.11,119.32,14.54,61.62
2012-03-07,117.02,16.72,179.35,110.26,86.09,40.32,83.62,120.43,14.77,61.36
2012-03-14,116.66,16.57,177.54,108.11,86.29,38.81,83.91,119.25,14.77,61.08
2012-03-21,114.4,16.17,182.38,107.99,86.61,38.86,85.16,121.07,14.56,62.82
2012-03-28,114.67,16.01,178.97,105.04,85.92,36.89,85.3,121.25,14.34,62.57
2012-04-04,115.91,16.19,180.84,104.49,85.86,36.31,85.86,122.79,14.41,63.13
2012-04-11,114.84,15.88,178.99,103.28,85.77,37.01,86.14,123.76,14.61,62.91
2012-04-18,115.45,16.32,177.74,102.08,84.48,37.45,85.19,119.8,14.76,62.56
2012-04-25,116.21,15.99,177.25,101.22,85.0,37.77,86.0,120.85,14.5,63.23
2012-05-02,116.38,16.15,180.99,103.63,87.0,37.74,86.88,124.84,14.5,65.19
2012-05-09,116.32,15.96,178.49,101.9,87.04,37.92,86.44,124.24,14.54,65.85
2012-05-16,116.45,15.52,175.53,98.83,87.97,35.79,85.96,124.77,14.49,65.45
2012-05-23,115.92,15.33,166.79,93.86,86.52,33.19,84.95,122.33,13.69,61.85
2012-05-30,115.59,15.19,170.64,95.19,87.04,32.74,85.38,124.79,13.71,62.93
2012-06-06,116.97,15.21,168.57,92.53,87.48,33.49,85.12,123.21,13.88,62.52
2012-06-13,116.05,15.5,167.33,93.88,89.39,33.77,85.27,122.1,13.98,62.74
2012-06-20,116.4,15.83,166.04,94.13,90.02,33.75,86.78,123.64,13.85,63.38
2012-06-27,116.95,15.25,165.79,92.01,88.06,32.49,85.8,126.59,13.8,63.48
2012-07-04,117.62,15.16,166.79,94.29,89.59,32.49,86.39,126.55,13.92,63.8
2012-07-11,118.22,15.63,174.5,98.39,90.24,34.09,89.07,133.51,14.2,66.13
2012-07-18,119.37,15.3,168.84,95.97,90.5,32.09,88.55,130.63,14.15,65.92
2012-07-25,120.61,15.39,172.74,100.29,92.03,33.68,89.31,134.12,14.59,66.4
2012-08-01,120.9,15.73,169.2,100.17,92.07,33.21,89.12,134.61,14.41,65.9
2012-08-08,120.84,15.47,168.65,99.67,91.34,33.96,89.16,131.01,14.35,66.61
2012-08-15,119.66,15.76,175.06,104.57,91.5,35.29,90.21,132.81,14.61,65.61
2012-08-22,118.3,15.71,177.33,105.33,90.97,34.62,90.84,133.7,14.66,66.31
2012-08-29,119.76,16.25,176.24,103.58,89.28,34.2,89.54,134.16,14.67,66.04
2012-09-05,120.0,16.12,176.22,102.43,89.2,32.95,89.98,135.34,14.45,66.52
2012-09-12,119.68,16.55,182.21,104.62,90.19,32.73,91.53,140.93,14.36,67.68
2012-09-19,120.42,17.21,185.25,109.58,90.29,34.58,91.6,140.48,14.78,68.38
2012-09-26,120.61,17.22,183.47,108.64,89.3,34.52,92.34,143.93,14.67,66.53
2012-10-03,121.5,17.3,180.64,107.46,89.12,34.75,91.88,142.36,14.6,65.07
2012-10-10,121.74,17.44,181.72,107.21,90.48,35.16,92.94,146.82,14.97,65.09
2012-10-17,122.61,17.21,179.13,106.29,90.26,36.09,91.43,142.64,14.87,65.0
2012-10-24,122.55,16.95,182.37,109.07,91.86,37.41,92.42,143.74,15.06,66.09
2012-10-31,122.04,16.67,178.07,104.36,89.76,37.53,90.61,136.5,15.07,64.32
2012-11-07,122.48,16.68,182.68,105.07,89.79,37.77,90.74,134.05,15.19,64.69
2012-11-14,121.84,16.88,176.37,100.92,85.93,36.52,88.62,128.41,14.76,63.93
2012-11-21,121.62,16.67,172.52,99.2,83.71,35.71,87.55,128.56,14.66,62.06
2012-11-28,121.8,17.03,180.55,103.5,84.14,37.46,91.34,138.22,14.76,64.04
2012-12-05,122.14,16.79,182.42,103.03,86.32,36.85,92.09,139.87,14.66,64.08
2012-12-12,122.23,16.52,182.67,103.43,87.27,38.27,92.16,137.73,14.72,64.97
2012-12-19,121.04,16.5,183.37,103.88,87.07,38.66,92.34,138.93,14.84,64.66
2012-12-26,121.03,16.05,188.05,104.3,87.67,39.75,89.5,139.08,14.95,66.43
2013-01-02,121.36,16.2,183.85,101.8,85.95,39.54,87.71,136.21,14.85,65.54
2013-01-09,120.61,16.19,190.72,104.69,88.07,41.59,90.04,141.77,15.2,66.61
2013-01-16,120.88,16.27,192.58,105.67,87.55,41.52,90.24,146.64,15.31,67.2
2013-01-23,120.55,16.41,194.78,107.26,87.81,41.36,91.76,144.52,15.38,67.8
2013-01-30,120.65,16.22,197.76,109.17,89.4,41.53,92.35,144.69,14.72,68.56
2013-02-06,119.42,16.2,198.86,110.45,90.75,41.47,93.08,145.58,14.45,68.26
2013-02-13,119.25,16.26,200.64,111.11,91.27,39.52,94.53,145.2,14.31,68.29
2013-02-20,119.38,15.9,203.43,112.96,91.24,40.22,94.64,146.05,14.53,69.21
2013-02-27,119.69,15.33,199.02,109.88,91.52,38.51,95.78,143.74,14.18,68.82
2013-03-06,120.33,15.37,200.51,110.81,92.85,38.95,95.97,147.79,14.62,69.09
2013-03-13,119.2,15.34,204.29,111.66,94.14,38.57,97.12,154.37,14.78,69.85
2013-03-20,119.04,15.45,208.49,113.77,94.81,37.76,97.93,156.97,14.52,70.28
2013-03-27,119.46,15.69,206.68,111.62,95.4,36.84,98.65,154.99,14.42,69.72
2013-04-03,119.9,15.52,209.72,113.31,97.1,36.93,100.73,159.93,14.97,70.53
2013-04-10,120.47,15.1,204.7,110.36,97.64,35.97,100.98,160.18,15.14,71.86
2013-04-17,120.83,15.18,209.82,113.11,99.66,36.27,102.54,167.43,15.68,73.72
2013-04-24,121.53,13.49,201.0,106.97,99.23,34.93,101.98,164.95,15.51,72.68
2013-05-01,121.89,14.23,208.53,110.42,101.25,37.05,103.51,173.14,15.63,74.02
2013-05-08,122.31,14.26,209.44,111.35,101.22,37.38,103.84,173.99,15.68,75.17
2013-05-15,120.9,14.15,215.22,115.09,98.56,38.22,103.94,174.89,16.5,75.82
2013-05-22,120.61,13.48,218.37,115.24,99.34,37.54,106.28,180.23,16.49,77.1
2013-05-29,119.57,13.53,217.16,116.93,97.79,37.18,104.93,181.27,16.45,74.82
2013-06-05,118.44,13.73,217.95,117.15,94.85,36.74,103.82,183.23,16.23,71.74
2013-06-12,117.05,13.73,213.33,114.54,94.24,35.92,102.34,175.18,16.15,70.73
2013-06-19,116.85,13.45,214.69,115.08,95.21,34.94,104.06,176.83,15.93,69.92
2013-06-26,113.14,12.42,207.71,111.81,91.49,32.21,100.02,167.92,15.0,65.72
2013-07-03,113.72,11.65,211.38,112.64,94.22,32.49,102.46,174.39,15.49,69.15
2013-07-10,112.17,11.87,215.82,114.82,93.03,32.07,102.89,182.22,15.32,68.83
2013-07-17,114.19,12.49,221.41,117.25,96.91,34.15,106.48,188.37,15.86,71.6
2013-07-24,114.56,12.46,224.25,118.64,99.06,33.63,107.05,191.94,15.65,72.38
2013-07-31,114.57,12.94,224.51,119.4,98.53,34.64,107.07,195.45,15.81,71.17
2013-08-07,113.28,12.73,228.8,119.83,99.54,34.92,107.61,200.61,15.29,69.07
2013-08-14,113.97,12.75,224.86,118.5,98.84,34.4,107.53,195.64,15.23,68.29
2013-08-21,112.11,13.24,219.94,116.71,95.18,36.15,104.35,188.85,15.16,65.97
2013-08-28,111.46,13.36,221.42,116.05,93.9,35.79,103.2,193.29,14.36,65.18
2013-09-04,113.05,13.67,218.92,116.72,93.65,35.11,101.8,195.78,14.16,65.05
2013-09-11,110.91,13.3,217.95,118.25,91.99,37.23,102.42,201.92,14.45,63.81
2013-09-18,111.31,12.85,223.66,119.95,92.46,38.07,104.23,206.15,14.99,66.2
2013-09-25,112.73,13.24,228.64,121.78,96.18,38.88,107.2,211.33,15.92,69.22
2013-10-02,113.86,12.84,227.1,120.56,94.65,37.9,105.27,210.16,15.42,67.13
2013-10-09,113.44,12.78,227.14,119.57,93.2,37.51,103.43,210.16,15.41,66.03
2013-10-16,113.43,12.49,227.35,120.14,95.21,38.14,105.07,201.47,15.81,67.16
2013-10-23,114.93,12.81,232.64,123.88,96.22,38.11,107.46,208.37,16.09,69.93
2013-10-30,115.33,13.07,234.87,124.33,97.47,36.48,108.88,211.3,16.1,70.19
2013-11-06,115.2,12.84,234.52,124.72,97.51,37.57,109.84,205.33,15.86,69.13
2013-11-13,114.41,12.68,230.6,123.39,97.75,36.64,109.92,197.82,15.7,67.53
2013-11-20,114.06,12.5,238.03,126.21,97.97,36.82,112.16,209.47,15.74,67.29
2013-11-27,113.9,12.06,237.79,126.76,96.93,39.72,111.48,214.21,15.62,66.35
2013-12-04,114.66,12.13,237.43,124.93,95.48,40.13,111.67,224.16,15.75,65.5
2013-12-11,113.42,11.91,236.78,124.46,95.25,39.4,110.39,220.19,15.7,65.46
2013-12-18,113.78,11.9,234.45,123.4,94.45,38.11,109.93,215.72,15.76,64.2
2013-12-25,114.35,11.54,237.71,125.54,95.32,37.59,110.85,217.99,15.57,65.12
2014-01-01,114.24,11.73,242.78,125.66,95.13,37.64,109.53,227.24,15.43,64.75
2014-01-08,114.41,11.88,241.4,124.62,94.32,37.12,108.89,227.09,15.42,64.57
2014-01-15,114.51,11.92,243.64,124.02,94.97,35.78,108.62,234.48,15.38,65.23
2014-01-22,115.31,12.05,245.87,123.17,95.88,35.86,108.34,246.38,15.09,66.78
2014-01-29,115.44,12.25,245.29,122.98,96.86,35.02,107.0,252.74,14.75,67.12
2014-02-05,115.99,12.06,239.76,120.36,97.78,34.66,104.65,249.96,14.68,66.96
2014-02-12,115.7,12.2,235.82,118.2,97.19,34.27,103.65,236.79,14.94,67.4
2014-02-19,116.0,12.64,243.99,121.0,100.67,35.47,106.37,260.03,15.04,69.12
2014-02-26,116.18,12.84,246.38,124.1,101.77,35.68,106.76,265.46,15.19,69.54
2014-03-05,117.39,12.9,250.08,124.57,100.95,35.78,107.59,272.15,15.44,70.08
2014-03-12,116.24,13.09,252.51,125.44,100.29,35.38,108.98,261.14,15.63,71.1
2014-03-19,116.5,13.31,247.79,123.21,102.28,32.98,108.84,254.8,15.06,70.28
2014-03-26,115.9,12.87,251.71,125.02,101.88,33.0,109.29,258.25,15.13,69.6
2014-04-02,117.04,12.54,245.6,126.78,102.76,35.1,109.7,236.14,15.57,69.61
2014-04-09,116.37,12.47,252.43,130.16,103.71,35.75,110.94,234.71,15.54,70.85
2014-04-16,117.68,12.78,242.74,127.89,104.55,36.68,110.56,221.89,15.76,70.9
2014-04-23,117.46,12.56,245.74,133.62,106.02,35.82,112.19,222.16,15.8,71.77
2014-04-30,117.96,12.54,248.11,134.68,106.81,34.98,112.39,229.62,15.69,72.35
2014-05-07,118.3,12.46,247.08,134.31,108.63,34.99,113.55,232.5,15.92,73.25
2014-05-14,118.5,12.5,245.8,134.5,107.49,34.72,113.75,223.35,15.88,74.17
2014-05-21,119.31,12.56,244.93,134.19,105.53,35.57,113.01,228.8,15.98,73.96
2014-05-28,118.8,12.54,247.73,135.33,105.32,36.35,113.55,234.15,16.19,73.49
2014-06-04,119.57,12.17,251.53,136.77,106.58,36.66,115.17,240.96,16.14,74.35
2014-06-11,118.24,12.14,255.49,137.55,108.68,37.44,116.2,245.19,16.07,76.41
2014-06-18,118.5,12.35,254.89,139.84,106.43,37.52,115.2,247.83,16.06,74.22
2014-06-25,118.33,12.78,259.11,143.78,110.71,37.93,117.69,250.56,16.14,75.36
2014-07-02,119.39,12.75,258.0,143.74,110.02,37.13,115.68,256.38,15.98,74.45
2014-07-09,117.93,12.78,262.14,144.57,107.15,38.43,117.03,266.02,16.16,74.63
2014-07-16,118.68,12.95,256.95,142.55,108.65,37.74,117.22,255.48,16.14,75.53
2014-07-23,119.4,12.8,253.82,141.93,106.27,37.97,115.89,243.07,15.96,75.81
2014-07-30,119.0,12.53,257.22,144.72,107.31,40.12,116.67,255.45,16.09,76.56
2014-08-06,118.55,12.42,249.13,138.58,103.52,40.47,111.83,250.83,15.79,74.9
2014-08-13,119.07,12.71,248.33,136.22,101.99,39.86,112.67,248.15,15.8,74.48
2014-08-20,119.4,12.72,254.66,137.48,105.15,41.02,115.25,261.2,16.04,76.31
2014-08-27,119.61,12.37,259.71,140.33,107.12,40.67,116.46,264.45,16.17,77.37
2014-09-03,120.49,12.49,260.58,141.36,108.16,40.52,116.96,274.12,16.22,76.77
2014-09-10,118.98,12.23,261.37,138.92,108.38,42.19,117.39,270.92,16.0,77.1
2014-09-17,118.2,12.04,261.59,136.94,108.27,41.11,117.77,273.35,15.92,76.2
2014-09-24,117.53,11.86,260.16,135.97,106.72,40.28,118.29,275.07,15.51,73.55
2014-10-01,118.36,11.83,250.2,131.48,104.5,39.0,117.18,273.97,15.39,71.35
2014-10-08,118.59,11.75,246.52,127.95,105.58,37.47,116.89,268.59,15.47,71.79
2014-10-15,119.53,11.84,241.53,122.26,106.67,38.38,118.1,267.95,15.24,73.42
2014-10-22,120.03,12.0,238.86,118.38,106.95,37.8,114.83,260.98,14.65,74.58
2014-10-29,119.7,11.94,249.8,123.72,110.63,38.5,118.52,283.62,15.16,77.11
2014-11-05,119.36,11.6,255.19,123.38,114.1,39.45,120.93,296.7,15.41,78.01
2014-11-12,118.36,11.07,260.35,124.53,114.99,39.35,123.9,293.32,14.96,79.03
