"Time","Type","Expected Value","CVaR","Trading Cost","LQD","IEF","IAU","MDY","VDE","EZA","IDU","FXI","VDC","RWR","IYF","VO","IBB","EWM","VNQ"
"2008-02-27","risk_averse",1008377.14,3069.21,0.00,0.00,476443.75,165954.06,0.00,34352.13,0.00,0.00,67259.48,255990.58,0.00,0.00,0.00,0.00,0.00,0.00
"2008-02-27","risk_neutral",1008377.14,3069.21,0.00,0.00,476443.75,165954.06,0.00,34352.13,0.00,0.00,67259.48,255990.58,0.00,0.00,0.00,0.00,0.00,0.00
"2008-03-26","risk_averse",1001973.61,2392.81,181.52,0.00,483712.43,114416.59,0.00,32395.41,0.00,0.00,25257.70,339573.53,0.00,0.00,0.00,0.00,0.00,0.00
"2008-03-26","risk_neutral",1019527.81,36246.49,1807.48,0.00,0.00,0.00,0.00,32395.41,0.00,0.00,962960.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2008-04-23","risk_averse",992070.52,3340.55,50.00,0.00,470554.52,106593.24,0.00,36026.29,0.00,0.00,30570.29,341499.28,0.00,0.00,0.00,0.00,0.00,0.00
"2008-04-23","risk_neutral",1251299.93,40814.13,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1201531.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2008-05-21","risk_averse",995283.94,3914.77,50.00,0.00,467583.38,111238.36,0.00,38806.43,0.00,0.00,29270.77,342091.82,0.00,0.00,0.00,0.00,0.00,0.00
"2008-05-21","risk_neutral",1180692.28,48537.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1150454.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2008-06-18","risk_averse",969123.48,4389.26,327.14,0.00,598592.80,108426.84,0.00,0.00,0.00,0.00,10195.81,247361.27,0.00,0.00,0.00,0.00,0.00,0.00
"2008-06-18","risk_neutral",1074479.79,57915.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1054152.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2008-07-16","risk_averse",980181.84,5519.69,218.69,0.00,498345.49,115394.51,0.00,0.00,0.00,0.00,9819.31,353369.68,0.00,0.00,0.00,0.00,0.00,0.00
"2008-07-16","risk_neutral",1036575.42,52443.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1015226.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2008-08-13","risk_averse",989709.33,3918.10,0.00,0.00,504722.85,96936.28,0.00,0.00,0.00,0.00,8911.81,374490.14,0.00,0.00,0.00,0.00,0.00,0.00
"2008-08-13","risk_neutral",939190.44,48591.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,921398.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2008-09-10","risk_averse",995407.85,3053.69,0.00,0.00,512865.38,89235.16,0.00,0.00,0.00,0.00,8119.65,379372.25,0.00,0.00,0.00,0.00,0.00,0.00
"2008-09-10","risk_neutral",862574.10,38909.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,839496.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2008-10-08","risk_averse",935196.40,5412.33,0.00,0.00,505178.38,111238.36,0.00,0.00,0.00,0.00,5658.29,309271.43,0.00,0.00,0.00,0.00,0.00,0.00
"2008-10-08","risk_neutral",596764.01,19048.08,1170.03,0.00,0.00,585015.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2008-11-05","risk_averse",910318.61,6019.89,362.17,0.00,608794.20,88623.96,0.00,0.00,0.00,0.00,0.00,153904.26,0.00,0.00,56304.68,0.00,0.00,0.00
"2008-11-05","risk_neutral",472433.36,20658.68,0.00,0.00,0.00,466083.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2008-12-03","risk_averse",940740.18,5438.26,158.13,0.00,660872.93,92413.40,0.00,0.00,0.00,0.00,58125.86,124286.65,0.00,0.00,0.00,0.00,0.00,0.00
"2008-12-03","risk_neutral",494659.10,39198.67,972.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,486012.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2008-12-31","risk_averse",978041.69,5476.40,0.00,0.00,664636.83,105615.32,0.00,0.00,0.00,0.00,69953.40,131103.31,0.00,0.00,0.00,0.00,0.00,0.00
"2008-12-31","risk_neutral",603575.70,37923.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,584907.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2009-01-28","risk_averse",940915.47,5930.00,100.00,0.00,648349.40,109527.00,0.00,0.00,0.00,0.00,14559.93,164035.30,0.00,0.00,0.00,0.00,0.00,0.00
"2009-01-28","risk_neutral",469823.06,40804.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,461382.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2009-02-25","risk_averse",921829.65,7224.07,0.00,0.00,642053.41,113683.15,0.00,0.00,0.00,0.00,14720.13,147013.89,0.00,0.00,0.00,0.00,0.00,0.00
"2009-02-25","risk_neutral",476556.48,17111.38,932.92,0.00,0.00,466459.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2009-03-25","risk_averse",950347.55,8450.57,50.00,0.00,657451.20,112338.52,0.00,0.00,0.00,0.00,17894.36,159074.43,0.00,0.00,0.00,0.00,0.00,0.00
"2009-03-25","risk_neutral",468206.34,38476.34,921.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,460942.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2009-04-22","risk_averse",939401.89,7573.56,330.23,0.00,721379.78,108671.32,0.00,0.00,0.00,0.00,53527.68,0.00,0.00,0.00,0.00,0.00,50000.00,0.00
"2009-04-22","risk_neutral",493323.36,42312.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,484631.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2009-05-20","risk_averse",931676.05,9173.94,100.00,0.00,701286.48,114783.31,0.00,0.00,0.00,0.00,13493.76,45131.79,0.00,0.00,0.00,0.00,53454.77,0.00
"2009-05-20","risk_neutral",535378.38,26349.29,1061.57,0.00,0.00,530786.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2009-06-17","risk_averse",906849.52,8334.40,0.00,0.00,674647.64,112094.04,0.00,0.00,0.00,0.00,14437.90,46115.00,0.00,0.00,0.00,0.00,55339.20,0.00
"2009-06-17","risk_neutral",532854.98,44465.60,1036.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,518350.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2009-07-15","risk_averse",928755.92,7311.03,0.00,0.00,689413.17,112460.76,0.00,0.00,0.00,0.00,15047.89,47769.67,0.00,0.00,0.00,0.00,57788.94,0.00
"2009-07-15","risk_neutral",551821.38,43974.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,540250.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2009-08-12","risk_averse",932892.85,7918.24,0.00,0.00,686673.18,114538.83,0.00,0.00,0.00,0.00,16232.92,48896.77,0.00,0.00,0.00,0.00,62500.00,0.00
"2009-08-12","risk_neutral",589209.19,24381.37,1165.59,0.00,0.00,582795.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2009-09-09","risk_averse",954231.81,7513.97,106.15,0.00,698318.15,66474.81,0.00,0.00,0.00,0.00,69619.61,50551.44,0.00,0.00,0.00,0.00,63316.58,0.00
"2009-09-09","risk_neutral",623958.55,43795.63,1216.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,608296.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2009-10-07","risk_averse",970222.41,8415.40,0.00,0.00,705624.81,70485.05,0.00,0.00,0.00,0.00,69864.86,52166.15,0.00,0.00,0.00,0.00,66708.54,0.00
"2009-10-07","risk_neutral",620385.29,24263.42,1220.88,0.00,0.00,610439.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2009-11-04","risk_averse",959527.93,8393.57,172.10,0.00,658559.79,72728.06,0.00,0.00,0.00,0.00,30735.96,124599.57,0.00,0.00,0.00,0.00,68090.45,0.00
"2009-11-04","risk_neutral",648978.52,48791.72,1259.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,629865.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2009-12-02","risk_averse",980821.46,9235.75,0.00,0.00,667142.74,80748.54,0.00,0.00,0.00,0.00,31062.71,128279.88,0.00,0.00,0.00,0.00,69032.66,0.00
"2009-12-02","risk_neutral",653869.68,55849.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,636561.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2009-12-30","risk_averse",944634.33,6366.46,0.00,0.00,644448.83,72999.94,0.00,0.00,0.00,0.00,29380.27,124618.54,0.00,0.00,0.00,0.00,66708.54,0.00
"2009-12-30","risk_neutral",621205.02,48114.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,602083.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2010-01-27","risk_averse",951365.33,7548.53,0.00,0.00,657177.79,72388.21,0.00,0.00,0.00,0.00,26773.17,123726.92,0.00,0.00,0.00,0.00,66143.22,0.00
"2010-01-27","risk_neutral",560877.27,46696.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,548656.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2010-02-24","risk_averse",956955.08,9886.10,192.47,75571.97,658705.26,73611.68,0.00,0.00,0.00,0.00,27106.88,119168.57,0.00,0.00,0.00,0.00,0.00,0.00
"2010-02-24","risk_neutral",562942.00,24249.29,1110.99,0.00,0.00,555495.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2010-03-24","risk_averse",951843.51,8631.30,209.40,75997.26,566038.36,72592.12,0.00,0.00,0.00,0.00,32803.74,123111.97,0.00,0.00,0.00,77212.01,0.00,0.00
"2010-03-24","risk_neutral",559705.37,37001.84,1095.60,0.00,0.00,0.00,0.00,0.00,547801.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2010-04-21","risk_averse",960808.63,10829.65,100.00,76638.80,570547.87,76058.60,0.00,0.00,0.00,0.00,0.00,124031.51,0.00,0.00,0.00,110371.23,0.00,0.00
"2010-04-21","risk_neutral",569082.95,25110.25,1121.92,0.00,0.00,560958.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2010-05-19","risk_averse",968080.88,10104.65,50.00,76761.35,593158.92,78777.41,0.00,0.00,0.00,0.00,0.00,116710.57,0.00,0.00,0.00,99185.70,0.00,0.00
"2010-05-19","risk_neutral",590168.71,22955.39,0.00,0.00,0.00,581010.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2010-06-16","risk_averse",980821.79,8803.83,118.19,76775.76,654410.99,82923.59,0.00,0.00,0.00,0.00,0.00,118761.85,0.00,0.00,0.00,42730.05,0.00,0.00
"2010-06-16","risk_neutral",625650.71,26562.12,0.00,0.00,0.00,611590.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2010-07-14","risk_averse",991310.17,5595.04,100.00,78433.68,665442.35,80408.69,0.00,0.00,0.00,0.00,0.00,122149.92,0.00,0.00,0.00,38365.75,0.00,0.00
"2010-07-14","risk_neutral",603563.30,26196.41,0.00,0.00,0.00,593042.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2010-08-11","risk_averse",1007532.55,8702.87,225.34,79442.84,569109.08,80816.51,0.00,0.00,0.00,0.00,0.00,234693.95,0.00,0.00,0.00,39350.83,0.00,0.00
"2010-08-11","risk_neutral",611769.56,45681.85,1192.10,0.00,0.00,0.00,0.00,0.00,596049.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2010-09-08","risk_averse",1014615.77,5319.04,170.25,79846.51,635924.23,82719.68,0.00,0.00,0.00,0.00,0.00,196899.32,0.00,0.00,0.00,13149.71,0.00,0.00
"2010-09-08","risk_neutral",623494.01,23456.41,1230.95,0.00,0.00,615475.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2010-10-06","risk_averse",1049658.50,6210.97,179.93,43847.95,654793.61,88701.05,0.00,0.00,0.00,0.00,0.00,161416.37,0.00,0.00,0.00,13640.92,79930.81,0.00
"2010-10-06","risk_neutral",672004.10,23384.80,0.00,0.00,0.00,659979.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2010-11-03","risk_averse",1058455.57,12028.86,0.00,43801.47,654007.38,92507.38,0.00,0.00,0.00,0.00,0.00,167892.96,0.00,0.00,0.00,13987.75,83225.14,0.00
"2010-11-03","risk_neutral",698743.38,65544.79,1376.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,688300.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2010-12-01","risk_averse",1027995.82,9289.75,118.81,42294.95,628258.55,151368.21,0.00,0.00,0.00,0.00,0.00,166126.61,0.00,0.00,0.00,13956.37,21566.53,0.00
"2010-12-01","risk_neutral",658189.93,25819.84,1295.52,0.00,0.00,647761.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2010-12-29","risk_averse",1014554.50,10767.63,300.99,41892.18,611616.80,112383.29,0.00,0.00,0.00,0.00,0.00,61323.53,0.00,0.00,0.00,14748.90,113335.57,54665.32
"2010-12-29","risk_neutral",674309.17,45621.83,1313.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,656858.09
"2011-01-26","risk_averse",1014129.80,7433.05,257.32,74552.13,614172.03,105011.21,0.00,0.00,0.00,0.00,0.00,148585.77,0.00,0.00,0.00,15028.24,46215.48,5338.36
"2011-01-26","risk_neutral",692494.72,22167.14,1358.47,0.00,0.00,679234.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2011-02-23","risk_averse",1014410.99,9984.88,0.00,74401.16,610044.36,112055.65,0.00,0.00,0.00,0.00,0.00,149214.77,0.00,0.00,0.00,14543.31,44745.28,5330.91
"2011-02-23","risk_neutral",733112.68,30191.13,0.00,0.00,0.00,724799.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2011-03-23","risk_averse",1023221.55,10634.02,0.00,74682.51,611813.36,114185.36,0.00,0.00,0.00,0.00,0.00,151872.80,0.00,0.00,0.00,15120.83,46471.17,5302.07
"2011-03-23","risk_neutral",755984.80,54512.53,1477.15,0.00,0.00,0.00,0.00,0.00,738575.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2011-04-20","risk_averse",1038963.34,11021.25,0.00,75094.25,612337.51,120492.58,0.00,0.00,0.00,0.00,0.00,158162.79,0.00,0.00,0.00,16489.32,47461.95,5582.15
"2011-04-20","risk_neutral",791734.52,64038.87,0.00,0.00,0.00,0.00,0.00,0.00,782560.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2011-05-18","risk_averse",1062218.79,10050.58,0.00,76226.53,625375.73,119591.55,0.00,0.00,0.00,0.00,0.00,166076.00,0.00,0.00,0.00,16938.16,47461.95,5718.01
"2011-05-18","risk_neutral",758102.23,60760.58,0.00,0.00,0.00,0.00,0.00,0.00,746275.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2011-06-15","risk_averse",1073560.05,6413.01,50.00,76048.11,638938.09,122294.65,0.00,0.00,0.00,0.00,0.00,159786.01,0.00,0.00,0.00,16056.18,47493.91,5464.91
